Course name,Instructor,Course_Difficulty,Time_Commitment_Required,Attendance_Policy,Pre_requisites,Evaluation_Scheme,Topics_Covered,Teaching_Style,Tutorials_Assignments_Projects,Feedback_on_Exams,Course_Importance,References_Used,When_to_take_course
ME673 - Mathematical Methods for Engineering,Abhilash Chandy,"The course is fairly easy, as it is essentially a math refresher course for the post grad students.",4-5 hours per week excluding the practice problems and including the lectures would be more than enough,"There was no attendance policy. However, there were weekly quizzes","As itâ€™s a refresher course, having studied MA10x and MA207 would help a lot.","Quizzes - 20%
 Midsem - 30%
 Endsem - 50%","Essentially all the applied sections of MA105, MA106, MA108 and MA207","The course was broken down into 11 modules, and the overall course was very well structured. The professor started any concept right from the basics and the lectures were easy to follow. The slides were handwritten, but the professor wrote pretty much everything he said during the lecture, so that was pretty convenient.",The practice problems really helped with judging the progress we had made and they contained a decent variety and quantity of questions.,"Overall, the quizzes and exams were very straightforward and fairly simple. The exams were carried out smoothly, and the set up was pretty simple.","Considering how almost all the content in the course has been covered in the first year itself, it only serves as a good revision for the important concepts","Erwin Kreyszig. Advanced Engineering Mathematics, Wiley, 10th edition, 2010","I took this course in my 4th semester as I wanted to try out a light course, and I had missed my MA108 due to the pandemic. 
 As itâ€™s a pretty light course in terms of its content, any semester apart from the 3rd semester is great for it. However, ideally one should go for it after completing the 4th semester."
ME651 - Fluid Dynamics,Abhilash Chandy,Quite easy,"Hardly any effort required, provided you have done ME219",None,"None, since the course actually runs as an introductory course for PG freshmen.","Assignments - 20% (5/6)
 Quizzes - 20% (5/6)
 Endsem - 60%","Continuum concept, control volume equations, Ideal fluid flow and hydraulic singularities, Navier-Stokes equations, and their use. Concept of compressible flow, one dimensional isentropic flow, normal shock, flow with-friction, heat transfer, boundary-Layer theory and applications","Classes were conducted live on Microsoft Teams.
 The professor would read his slides and annotate over them, so the classes were reasonably interactive. Attendance was quite poor though, since most of the UGs found the course content to be a repeat of ME219.","Assignments were very simple, picked straight out of the reference book.","Really easy, most of the questions in the quizzes and endsem are straight from the reference books.","One of the core courses for TFE Dual Degree students, so it will be handy for those looking at research in the TFE domain.","Fluid Mechanics by Kundu
 Incompressible Flow by Panton",5th semester. Ideal time to take the course.
ME636 - Advanced Joining Technology,Amitava De,"The course was moderately chill, and easy to follow. Quizzes and exams are balanced, they have easy questions as well as difficult ones, but are doable if one has followed lectures and studied the provided reference material.","Not much, no assignments were given, about 2-3 hoursâ€™ worth of reading every week and attending classes is enough.","No attendance mandatory due to online semester, although attending the classes helps a lot. Quizzes sometimes focus on doubts and discussions happened in class.",Knowledge of manufacturing processes and materials helps. All that is needed is covered max by third year core courses of the autumn sem.,"Proposed scheme was Quizzes: 30% (4 out of 6), Midsem: 20%, Presentation: 20%, Endsem: 30%. However, there was no presentation and only 3 quizzes were taken. Hence all quizzes were considered along with the mid and end sems. The actual weightage was decided by the professor and wasnâ€™t conveyed.","Welding in general, types of welding, focused learning of a few welding operations like Gas metal Arc welding, Tungsten Arc welding, Laser welding etc., analytical modelling of the heat transfer process in the workpiece, microstructures of workpiece after welding, defects and methods to detect defects, modern welding processes and scope.",Professor uses slides and gives excerpts from books/papers to read and understand more on the topic. Course is very streamlined and teaching style is good. Might get a little bored due to the length of the lecture (1.5 hrs),No tutorials/assignments,"All question papers were similar, included easy and difficult questions. These are mostly reasoning based, and theory oriented. The numerical questions are easy.",Helpful as an intermediate course if you want to pursue research in joining processes.,,I took this course in my 8th semester. 6th and 8th sem are recommended.
ME617 - Rapid Product Development,Prof Karunakaran,Chill,2-3 hour time commitment in the first half of the course. Second half time commitment varies depending on the project undertaken.,Compulsory attendance else grade penalty may or may not be imposed.,None,50% for best of 5 out of 6 quizzes and 50% for project,"The course provides the critical tools to get started with product design, rapid product development and additive manufacturing. Students will be expected to work on hands on real life project and may have to visit industries as well.
 -Overview of Rapid Product Development
 -Rapid Prototyping and its principals
 -Rapid Tooling 
 -Reverse Engineering and Data 
 -Topology 
 -Additive manufacturing",The first half of quizzes is mostly self study and focuses on a quiz per week to quickly get the students acquainted with course content then followed by second half which is completely focused on project that involves applying the theory learned earlier.,Quizzes are quite easy but require a lot of reading and memorizing since there are a lot of things to learn rather than solve. The project are quite hands on and requires meeting up with Prof Karunakaran twice a week to ensure that actual work is being done. The instructor is very much passionate when it comes to the project and will oversee it throughout its entirety.,No endsems and midsems. Quizzes cover most of the topics read and just requires a lot of memory power. A thorough read in an evening is enough to prepare for the 75 minute quiz and with access to previous year papers they become quite easy.,,,8th semester. Ideal time would be taking it in 6th or 8th semester.
ME6101 - Lattice Dynamics and Thermal Energy Transport,Deepanshu Bansal,"Content wasnâ€™t easy. It was meant to be for Masters students, hence some knowledge gap was noticeable in the lectures. Covering this gap required a bit of extra effort.
 In some sections, it was difficult to understand what was the motivation behind the concept.","Although no midsem and endsem, the quizes(6) took some time to prepare (4-5 hours each quiz). The assignments were time consuming (10 hours each) and preparing for the vivas also took quite some time.","No attendance required, atleast in an online setting.","Basic coding(loops,numpy arrays) in any language, preferably python-helps you collaborate with others.
 There is no coding test, its just required for assignments",No midsem/endsem,Lattice dynamics,,,,,,
ME604 - Robotics,Abhishek Gupta,"The course is not very difficult to follow, and easy to do well in with some regularity.",6-8 hours per week,,"No hard prerequisites. Knowledge of basics kinematics, mechanics, and linear algebra is expected (JEE level is enough)","Assignment/Tutorials: 15%
 In Class quizzes: 10%
 Quizzes: 20%
 Midsem or Project: 20%
 Endsem: 35%","Construction of manipulators, advantages and disadvantages of various kinematic structures, Rigid motions and representing rotational transformations, Forward Kinematics and the DH convention, Velocity Kinematics and the Jacobian, Inverse Kinematics, Dynamics of manipulators, Path and Trajectory Planning, Independent Joint Control, Non-linear and Multivariable Control. Discussion of Applications, and simulations in MATLAB.",,"The tutorials/assignments are long and repetitive, but doing them properly really hammers the concepts into you. There is a decent amount of weightage to submitting these, so should be taken seriously.","Midsem, Endsem and Quizzes are not very difficult, and questions are parallel to the kind of questions in the tutorial, sometimes even directly from them.",,"Robot Modeling and Control by Mark W. Spong, Seth Hutchinson, M. Vidyasagar","I took this course in the 6th semester. It is the ideal semester to take this course, as it runs in parallel to ME316 KDoM (core course), and there is a relation of concepts from the latter parts of that course to this elective, which gives a better appreciation of concepts. But, this course can also be taken in the 4th semester if you plan to explore more advanced robotics courses / research projects in your later semesters."
ME494 - BTP I,Prof. Prasanna S Gandhi,"Largely depends on scope of the project and expectations of the Guide. Generally the projects are very open ended and research based, but over the course of semester students are expected to come up with a reasonable amount of original work which should not be a mere literature survey. The original work can be anything ranging from a good experimental data, or a design idea to some simulations and results, depending on the project area and scope.","Equivalent to or slightly less than normal 6 credit course, ie, ~3hr per week",,Tools/Softwares specific to project.,Major evaluation elements in a BTP are:,â€“,The mechanism is usually that you meet with your guide once a week at the beginning and this meet frequency of becomes lower and lower as the project proceeds (which was atleast for my case).,,,"The course can prove out to be of real value if you are an BTech student, interested in or will be going for higher studies.",,"I did this course in my 6th Semester, however it was not the best decision as we already had 3 labs in that sem so time management got a little thought for me."
ME477 - Introduction to Optimization,Avinash Bharadwaj,The course can be considered to be more on the difficult side. The course is highly theoretical and rigorous. The questions in exams can be challenging. Anyone who enjoys theoretical mathematics and proving things would enjoy the course.,"Apart from attending lectures, the time commitment is not heavy. A weekly recap of everything covered should help. The evaluations were just assignments and an end exam. The assignments had to be typed in Latex, so that consumed some time.",The course had no attendance policy. Detailed lecture notes were provided too.,Any previous experience of linear programming or optimisation can be helpful. Further a good grip on algebra ( as in MA106) and basic calculus will also prove beneficial.,There were 3 assignments and one end semester exam. The weightages of these were not disclosed,"Convexity, Linear programming, Duality theory, Simplex method, Non linear optimisation ( unconstrained and constrained)",The classroom for this course is pretty small. The teaching style is pretty interactive. The professor encourages higher involvement. We had live video lectures twice a week. And even digital notes were provided on Moodle.,Assignments were designed to be of mediocre difficulty. More than sufficient time is provided to complete them. The prof expects us to understand the solutions and write and not simply copy them down.,"There was just one exam, the endsem. The paper was moderately tough, with a total of 6 questions. One cannot expect to solve the entire paper. The questions are highly stimulating and challenging. The professor usually prefers a 24 hr exam format, although we had a 3 hr exam.",,"The prof recommends the reference book, Introduction to Linear Optimization. Dimitris Bertsimas. John N. Tsitsiklis. This is the best source for this course. For the non linear part the course notes should suffice",
ME420 - Cryogenic Engineering,Milind D Atrey,"Moderate, gets a bit rigorous towards the end",About 3 hours/week apart from classes,Compulsory attendance (>80%). Had to be relaxed in online sem. The prof remembers names of students who are attending/ non-attending and calls them out,No prerequisites as such. Basic thermodynamics (cycles) and flair in control volume approach might assist.,"2 quizzes, 10% each
 1 course seminar presentation, 10%
 Midsem 25%
 Endsem 45%",Gas liquifaction systems. Gas - separation and gas-purification systems. Cryogenic refrigeration systems. Gas-properties of materials of low temperatures. Ultra-low temperature techniques,Live classes. Exhaustive slides. In-class problem solving is very important. Teaching is complete in every sense. The professor is very knowledgeable and explains everything extremely well.,"The project(course seminar presentation) requires sincere efforts and is deeply scrutinised by the professor, but is a excellent learning opportunity.",Exams are moderately difficult. Quizzes are on the easier with the 1st quiz somewhat memory based and basic concepts (discussed in class) based.,,,6th semester. I think this is the ideal time to take the course as it requires some basic knowledge of thermodynamics and has certain rigour which might not be dealt with very smoothly in the 4th semester
IE643 - Deep Learning,Balamurugan Palaniappan,"The course is of moderate difficulty. Unlike a lot of other deep learning courses at Insti, this course initially focuses a lot on the mathematics behind deep learning, and thus builds a good conceptual base to understanding the working of more complex architectures later on.",6-8 hours per week,,"The course instructor asked sophomores to de-register when I took this course.
 Basic knowledge of Linear Algebra is expected (MA106 is more than enough)","Mid-Term Exam: 20%
 Quiz: 10%
 Assignments (Theoretical / Programming): 10%
 Scribing, class participation, other activities: 10%
 Challenge Programming contests: 10%
 Course Project: 40%","The Perceptron, Feed-forward networks and Multi-layer perceptron, ConvNets, Recurrent architectures like RNNs / LSTMs / GRUs, transfer learning, Attention based networks, Auto encoders, Generative Adversarial Networks, Deep Neural Recommenders. Non-convex Optimization tools for Deep Networks. Learning theory for Deep Neural Networks. Several Applications covering operations research, computer vision, natural language processing, multi-media analytics, proof checking.","Concepts are covered in live lectures, with the professor sharing some short reading material / pre-recorded lectures to go through before the lecture. The teaching is clear, and easy to follow. Initial part of the course focuses a lot on the mathematical concepts of Deep Learning so the pace is slower, but the course really picks up speed after the midsem.","The Assignments are of good quality. The programming assignment requires you to completely code an entire neural network from scratch, for different kind of tasks, and implement the backpropagation yourself (derived in class in detail). The second assignment had 3-4 open ended problem statements that required the students to do their own research, check out the latest literature, and then suggest the approach towards solving these problem statement. This assignment brings focus on the problem solving approach to a deep learning task.","The exams are of moderate difficulty, and most questions just focus on the conceptual understanding and problem solving approach rather than mathematical ability.",,,
IE503 - Operations Management,Prof. Jayendran Venkateswaran,Easy - Moderate,2 hours a week is sufficient,No attendance policy as a consequence of an online mode of delivery,None,"Weekly quizzes (8 x 1.5%) = 12% 
 Individual Home-works (2 x 3%) = 6% (1 each before and after mid-sem)
 Beer Distribution Game (1%)
 Test 1 (5%)
 Mid-sem (20%)
 Group Homework (10%)
 Final Exam (46%)",The aim of the course is to familiarize students with supply chain system and issues therein; and equip with techniques to model some specific operational issues in such systems.,"Professor uploaded high quality recorded videos on an unlisted YouTube playlist, and shared them with the class. His teaching is structured, methodical, he explains with a lot of examples and keeps the lectures practical, engaging and interesting.","Project: We were divided into groups of four each, and given a wide variety of topics to choose from. We were expected to make and deliver a presentation on the topic of our choice to the class. It was fun and filled with learning.","Weekly quizzes are very straightforward, simple and direct application of concepts to short numericals.",,"Steven Nahmias, Production and Operations Analysis, McGraw Hill.
 W. Hopp and M. Spearman (2000) Factory Physics, 3rd ed., Tata-McGraw Hill.",I took this course in my 5th semester with an intention of pursuing a Minor. Many students can also take this course in their 7th semester.
IE501 - Optimization Models,Prof. Vishnu Narayanan,Not very difficult. The concepts taught are fairly straightforward and the assignments are easy too. Can do decently in the exams by studying just before them.,Just attending the classes should be more than enough. Otherwise might have to give about two or three hours per week for the assignments.,No compulsory attendance. Only had to go to class to turn in the assignments.,Some knowledge of Linear Programming helps in the initial part of the course.,"3 Assignments - 30%
 Midsem - 30%
 Endsem - 40%","The course started with a brief introduction of Linear Programming, followed by concepts of Duality, methods of solving LPPs like Simplex. Then applications of LP in Knapsack problem, arbitrage detection were discussed rigorously.","It was Pre-covid era, so had 2 lectures per week. No attendance policy but no slides also. Prof encouraged discussion in classes.",Assignments were very easy. No tutorials were held as such.,"Exams (Midsem and Endsem) were open notes, although it didnâ€™t matter. Questions required understanding of concepts. Fairly easy if you have understood the material.",,,3rd sem. 3rd sem itself - If youâ€™re looking for a minor in IEOR better to finish this off quickly.
HS457 - Managerial Economics,Prof. Surajit Bhattacharya,"The course is fairly dfficult, and requires you to spend time understanding concepts extremely well if you want to score in exams.","As long as you attend all classes, about 5-6 hours each week should be enough.","The professor expects 100% attendance, barring cases of being sick (pink slip required) or cases where you take leave, which he must approve before hand.",HS101,"There were several assignments, a quiz, and a midsem in the time we took the course.
 Quiz 1 - 15%
 Midsem - 30-35% (not sure)
 The remaining evaluation was done through assignments, which continued into the â€œsummerâ€, as the semester was cut short.","The course is essentially HS101 on steroids. It includes very in-depth analysis of micro and macro economics, and derives all results we got in HS101 from more fundamental assumptions.","The professor is very very invested in the studentsâ€™ learning, and keeps sharing relevant information about things happening in the world. He also clearly spends a lot of time preparing the content, and knows all the content really well. He gives very detailed feedback on exams, and expects students to know concepts really well",,,,,
HS448 - Professional Ethics,Prof. Vikram Singh Sirola,Easy,Class time and extra time for compulsory reading material provided.,"No strict attendance, but marks were given to those who were regular for class participation, etc.",,,"I. Introduction to Ethics: Conceptual and Foundational Issues
 a. What is morality?
 b. Approaches to Ethical issues
 c. Analysis of Ethical concepts
 d. Fundamental ethical theories","Aim: discussing the special ethical problems and issues that arise in a profession for the professional, the client, and the larger community.
 Methodology: application of moral reasoning to established professions such as engineering. Medical, business, nursing, journalism, etc.",,,,,
HS408 - Shakespearean Afterlives,Prof. Sudha Shastri,"The course is not too difficult, as long as you attend all classes. But itâ€™s more effort than your usual minor course. (You are expected to read the plays before attending classes)
 This may have been because it was the first online sem. Subsequent courses she took in Spring â€˜21 were supposed to have been very rigorous.","Attend all classes. Apart from that, 3-4 hours a week.","Online sem, so no attendance policy",None,"Quizzes ~30%
 Assignments ~70%
 Not 100% sure of this, but assignments were worth more than quizzes for sure 
 The weightages seemed fairly arbitrary, so expect them to change.
 No midsem/endsem, but an assignment was due during endsem week, so make of it what you will.","The course focuses on Shakespearean plays, and subsequent works of literature that draw from the original texts, such as Neil Gaimanâ€™s â€œThe Sandmanâ€. Youâ€™ll be doing a few plays in depth, and sheâ€™ll ask the class which ones you want to do.",,,,,,
HS402 - Game Theory and Economic Analysis,Saptarshi Ghosh,"The course is easy to follow and understand IF you attend the classes, because instructor doesnâ€™t give slides that can be useful for exam purposes. So either you would have to binge the recordings or try to read the books, which is problematic.
 The exams were very scoring","Attend classes and study before Exams, very chill",None,"None, basic maths",Endsem and midsem (70-30 approx),Can see course description,Live classes and whiteboard annotations,None,,,,Third/Fourth year
HS307 - Sociology,Suryakant Waghmore,Course was easy if you follow the lectures and read all the papers and books provided by prof. Midsem and endsem assignments was pretty lengthy (~5000 words).,Assignments took most of the time,"there was no policy for attendance, but class learning is good in this course.",No prerequisites. If you read a lot it will be easy for you.,"20% Assignments 
 30% Midsem
 50% Endsem","Sociological imagination and Sociological Consciousness, Feminist Perspective, Indian Sociology, discussion on social issues and some social movements. Study of Karl Marx & Max Weber.",,"there only essay type evaluations. There can be some other methods of evaluations also, may be something in class.",,,,
HS307 - Sociology,Prof. Ahona Roy,Itâ€™s a fairly simple course. You just need to know how to write somewhat well.,"A couple of hours for each assignment, So a total of about 10hrs throughout the course","Attendance was expected, but no specific policy. This was in spite of the institute announcement that no attendance policies should be in effect.
 Anyway, at the end, attendance made no difference.",None,"Midsem assignment-50%
 Endsem assignment-50%","Sociological constructs such as Religion, Capitalism, Marxism are discussed. The work of several prominent sociologists is discussed in some depth.","The professor is not the most reasonable, but teaching is alright.","Grading on assignments is fairly arbitrary, and thereâ€™s no real feedback, so take this course at your own risk.
 Plagiarism checkers are run on assignments, so just be aware.",,,,
HS305 - Reading Literature,"Profs. Sharmistha Saha, Sharmila, Suddhaseel Sen","The course was not difficult per se, but a good grasp of the English language would definitely help.",3-4 hours per week (since it would involve going through the material and then writing the essay),None that was enforced,"Like I mentioned earlier, a good grasp of the English language, writing skills and a passion for reading is all that you need.",So the course had 3 modules (taken by three different professors and each one had equal weightage). All the assignments involved writing essays or critical analysis of the given texts and the marks would be varying depending on the professor.,"Prof. Sharmistha Saha
 Primary readings:","The classes were primarily discussions based on the texts. Thus, it required the student to read the texts before hand in order to make the most of these classroom sessions.",The assignments were based on the text and required us to analyse the text critically in order to answer the question(s) given. Grading was heavily dependent on original ideas and not just paraphrasing the text and submitting it. Plagiarism was strictly penalized.,There were none,"Like I mentioned, it was a great respite from the math and engineering heavy courses. Moreover, it also encouraged a lot of readers to read during the semester.",-,"Fifth semester, according to the curriculum"
HS303 - Psychology,Prof. Pooja Purang,On the easier side. Not much effort required. Exams were also on the easier side.,"Around 3 hrs a week. This includes attending classes, watching pre-recorded lectures, self study.",Online semester,None,"1 quiz, 1 assignment, midsem (around 30%), endsem (40-50%)","Introduction to psychology, research methods in psychology, theories of learning, memory, motivation, personality.",Pre-recorded lectures which students were supposed to watch and note down the doubts. These were usually an hour long. Two classes a week ( 2 hrs total) to recap and discuss doubts.,"No tutorials or projects. Simple assignment, were supposed to submit 1 pg writeup. Prof. used to share key points of the lectures separately.","On the easier side. Had to memorize stuff. Good chance of making mistakes in the exams. Exams were objective and fill in the blank type, on the SAFE app.",Not very important in technical fields. Will support indirectly in non-technical fields.,Prof. used to give reading exercises sometimes. She used to share screenshots of the pages of reference books.,5th semester
HS303 - Psychology,Prof Azizuddin Khan,Moderate,Studying for a few days before exams may suffice. Extra effort is required for an AA.,"No attendance policy was imposed, the semester being online",None,"2 Quizzes, 1 Endsem, 1 Assignment. Quizzes and Endsem were all MCQ based with no negative marking","Introduction to Psychology, Sensation and Perception, Learning, Memory, Motivation and Emotion, Language.",Classes were informative and fun. The instructor used various examples to explain a concept.,Assignment is pretty simple. There were no tutorials or projects.,Quizzes and Endsem were both MCQ based with a good mix of theoretical and application-based questions. The time is sufficient to attempt all the questions.,The content is great to know and offers one new perspectives on daily activities.,"Slides and Morgan, C.T., King, R.A., Weiss, J.R., & Schopler, J., Introduction to Psychology (VIIth Ed.), New York: McGraw-Hill, 1986","For most of the departments, 5th semester is when HS electives are supposed to be taken."
HS301 - Philosophy,Ranjan Panda,"Course is not tough, reading material given by the prof. is enough for getting a good grade.",Max 1.5-2 hrs weekly apart from class,"Online sem, attendance was compulsory only for a weekly doubt session.","No Prerequisites, interest in philosophy would be great though.","10 assignment
 10 quiz
 30 midsem
 50 endsem","Aristotle, Intro to Indian Philosophy, Bacon, Decarte, John Locke",,"Easy assignments, understanding of philosophy has to be shown, lenient grading.",Midsem was objective based and endsem had both objective and subjective questions. Both would be easy if given material is read.,,"A history of western philosophy- Frank Thilly, A critical survey of Indian philosophy- Chandradhar Sharma",
GNR638 - Machine Learning for Remote Sensing II,Biplab Banerjee,"The course is chill, mainly due to the chill evaluation scheme.",5-6 hours per week,,"No hard prerequisite. Basic knowledge of Linear Algebra is expected. Having some very intro level ML familiarity (from random online course) will give you a slight advantage, and make the course chiller for you.","2 Paper Reviews - 25% (critical reviews of research papers)
 1 Kaggle competition - 15%
 Course Project - 35%
 Final Quiz - 25%","Recognition problems in computer vision and remote sensing, Evolution of feature extraction and representations, SIFT, Bag of Words, HOG, Neural Networks and CNNs, Loss Functions and Optimization, Discussion in detail of Important CNN architectures (VGGNet, AlexNet, GoogleNet, ResNets, etc.), advanced CNN models (Bayesian CNN, Siamese/Triplet CNN), Autoencoders, Object Detection approaches (versions of RCNN, YOLO, SSD), Image Segmentation, RNNs (Simple, LSTMs, GRUs), Attention, GANs, VAEs, Multi-modal learning, etc.","The professor has regular lectures where new concepts are covered. A lot of content is covered in a lecture, and depth is not a lot. The professor posts a lot of good optional reading material so students can explore interesting topics in greater detail on their own.
 Because the course takes on a more overview type of approach, the content is more breadth over depth, so rigorous mathematical discussion and intuition of various ML approaches is lacking, and left as an exercise to the student. 
 About the teaching style, the professor will just come, deliver the content planned and leave without much interaction, so the students have to be proactive and ask doubts wherever required by interrupting the professor (he doesnâ€™t mind at all)",,"The final quiz is moderate in difficulty. The questions are mostly either conceptual, or right out of the slides. There are no questions from topics given for self reading. The exam format for us was MCQs or fill in the blanks with justifications.","This course does a good job of giving a lot into the very broad and complex field of ML, and is able to demonstrate the myriad of applications of Machine Learning to real life problems.",,"I took this course in my 5th semester. This course can also be taken by sophies in the third semester, after which you can explore ML in a more rigorous manner through courses from the CS and IE departments, and through projects under professors."
ENT208 - Technology Venture Creation,Prof Rajen Jaswa,"The course wasnâ€™t difficult. It mainly was thinking about an idea, discussing about it and presenting it.","Although the classes were optional, some events and talks were super fun to attend. Do attend if an external speaker is invited.",Optional,"None. If you have a group of 3-4 with you, it becomes easier than to make a random group.",Presenting your start-up projectâ€™s progress. Lite only.,"TVC is like a crash course of the whole ent minor. Itâ€™s the capstone course of ent. Also, thereâ€™s trip to a rural setting involved here, sponsored by DSSE itself. Spring â€˜20, they took us to a village in Ahmedabad to interact with the community and understand their problems. This was to enable us to come up with ideas solving tech related issues, specifically for villages.",,,,,,
ENT205 - Intellectual Property for Entrepreneurs,"Milind D Atrey, R R Hirwani",Easy,1.5-2 hours/week (apart from classes),"Compulsory attendance (10% weightage), relaxed in online sem",No prerequisites,"Patent Search Assignment 20%
 Case study group assignment 20%
 MCQ quiz 20%
 Endsem exam 40%","Introduction to IP, Patent Fundamentals, Copyrights, Designs, Trade Marks, Service Dress, Branding, Trade Secrets and other forms of IP, Industry specific IP issues, IP Management, IP Issues in Agreements",,,Moderate exams. Not too easy. Practical application based and case study questions along with definition based questions.,,,"6th semester. Ideally it can be taken in the 4th semester as well. I opted for it then but since it is a 2nd half semester course, it had to be cancelled then due to the pandemic"
ENT204 - Basic Proof of Concept,Kums P Kumaresan,Super easy.,Very less load. Hardly 1 hour per week was required. Attending the 1.5 hour lecture every week and interact was enough to get a good grade .,No attendance but brownie points for attending the class. Anyways there was only 1 lecture of 1.5 hours every week.,No pre-requisites. No prior knowledge required.,No midsem and endsem. Evaluation was just based on the assignments and the final presentation.,"The course is designed to enable students in converting their ideas with commercial potential into a tangible product/service.
 Understanding the new product development process, Learning to integrate the needs of the end-consumer into the process.
 Acquiring the skill to apply the standard concepts and tools of the process.
 Developing the new product in a typical laboratory environment and generating an effective go-to market strategy.",Professor showed real life examples and he himself did some practical work for the students. Live lectures were taken on MS Teams and info was conveyed by the professor on WhatsApp and MS Teams. He was very interactive on WhatsApp as well and really enjoyed talking to students.,"Only assignments were there and a final presentation containing all the assignments was submitted. Some assignments were very interesting, some were not that great.",None,,,I took this course in the 5th semester. You can take this course in any semester as it wonâ€™t affect any other course that you have taken in that semester.
ENT201 - Introduction to Entrepreneurship,"Anand T Kusre(Course Instructor), Milind D Atrey, Rajen Jaswa",Easy,1.5-2 hours/week (apart from classes),80% attendance was compulsory and counts towards grades. DX was also given to students with very low attendance.,No prerequisites,"3-4 easy case study based assignments
 1 final group presentation
 Midsem with basic definitions and focused on BMC
 Endsem on application based based questions and case-studies","Real life case studies
 An Entrepreneurâ€™s mindset
 Understanding a Business Model Canvas and how to make one in detail
 Basics of Intellectual Property
 Basics of Business Communications: Pitching and Presentation
 Guest lectures by established Entrepreneurs","Interactive classes, case study based approach, pace may be slow but every aspect is covered and discussed","Assignments are easy and stimulate creative thinking
 Group project/presentation gives exposure to basics of entrepreneurship practically","Exams are moderately easy. Case study, definitions and BMC cover most of them.",A good course to get to know the prerequisites before embarking on your startup journey,Slides and classroom discussions are enough,I am passionate about entrepreneurship and want to complete my minor in the same. 3rd semester is ideal because the course does not require a lot of time commitment and is a good time to explore this field as the course is introductory.
EN618 - Energy System Modeling and analysis,"Prof Santanu Bandyopadhyay, Prof Venkatasailanathan Ramadesigan",Rigorous in terms of keeping up with syllabus but not with questions difficulty,Moderate,None,None,"5% Assignments, 15% Quizzes, 15% Midsem, 25% Project, 40% Endsem","Course is quite problem solving based and requires students to be actively following along class as weekly quizzes are kept along with assignments. Project ensures what is learnt in class is applied and is inspected at multiple stages to ensure the authenticity of work done.
 -Energy analysis. 
 -Modelling overview.
 -Quantitative modeling techniques such as Interpolation, regression
 -Systems Simulation
 -Optimization: Linear and non linear programming",,,,,,8th semester. Can be taken whenever
EN613 - Nuclear Reactor Theory,Suneet Singh,"Content-wise, the course is not difficult. It involves solving a lot of differential equations and numericals. Past year papers are provided by the professor himself, the exams follow a very similar pattern.","Moderate. Assignments were planned but due to large size of the class, this was scrapped. However we had unproctored mini quizzes once a week. Generally, students studied only 3-4 days before the midsem and endsem.","Due to online mode, attendance was not compulsory. Lectures were recorded.","No prerequisites, but knowledge of differential equations would give an advantage since the course is heavy on it. Might have to revisit MA108.","10% mini quizzes
 45% midsem
 45% endsem
 (however this is due to online mode, generally the course involves assignments too)","Preliminary topics such as radioactivity, theory of nuclear reactors.
 One speed neutron diffusion, followed by variations in different physical settings. Criticality, time dependent criticality, multi-group neutron diffusion, reflector reactors, reactor kinetics.","Live lectures in class slot. Teaching was a bit monotonous. You might have to force yourself to stay awake. However, he was very responsive to doubts and answered them well. He is not strict or uptight, instead lenient and relaxed.",Mini quizzes were quite easy if you follow the lectures and read the notes.,"Midsem and endsem were pretty much based on the past year patterns, you should be good to go if you have thoroughly gone through the past year exams.",,,
"EN606 - Energy Resources, Economics and Environment",Prof Rangan Banerjee,Moderate,High,Not compulsory,None,"10% quizzes, 10% assignments, 10% midsem, 30% Course project, 40% Endsem","Instead of being just a theoretical course its very immersive and the instructor gets the student to not only learn theory but also apply it with real world data and problems. The quizzes are kept each week to ensure students to keep studying regularly; a group assignment is given where students have to analyses energy consumption and specialty of countries policies and present it with other countries assigned to students.
 Group projects aims at analysing/solving some real world problem and depends a whole lot on what one learns. Course content can be somewhat described by:
 -Overview of World Energy Scenario
 -Energy Economics -
 -Energy Chain, Primary energy analysis Life Cycle Assessment, Net Energy Analysis
 -Environmental Impacts of energy use 
 -Pollution
 -Emission factors and other impacts on environment.",,Very helpful in nailing exams,,,,This course can be taken in any semester but will recommend taking in a lighter semester
EE221 - Digital Electronics,Prof. Vivek Agarwal,Easy,Class time study should be sufficient.,"No DX was awarded. Also, no regular class quizzes but we had 2 surprise quizzes in the whole semester.","No prerequisites. If you know Boolean algebra, that will help.",,"The course starts with the basics of Boolean algebra, logic gates and Karnaugh Maps. Then comes the role of transistors and using them to build logic gates. This knowledge is then used to build combinational circuits. After that, sequential circuits are taught. This is followed by teaching adders, comparators, registers and counters. In the end, this knowledge is used to implement logic in problems.",The lectures were helpful. The prof. has great knowledge and encourages a lot of doubts. He makes sure that there is no discrepancy in the understanding of students.,The project was very thought-provoking and used ModelSim.,"There were two quizzes, midsem, endsem and a project. All the papers were moderate. Only the first quiz can be classified to be on a much easier side. But the marking is lenient hence itâ€™s not very tough to score.","You are likely to like the course if you like logic implementation and Boolean algebra. As I have already mentioned, it also helps you in your subsequent courses eg. EE101, ME311.",,
